Reviews
I want to refund box Quality bad
The product is a real deal. The battery life is amazing! I am very much satisfied with all the features of the phone.
"So far its good , I will update the rating and review incase something comes up!"
Lightning fast
"Mine i just 2 months and the screen though claimed to be gorilla glass, had few cracks with a 1 feet fall. fortunately the display is intact and have to use it like this now since screen is not covered by warranty. I was an mi lover and third mi phone this, but not any longer"
Beast under 20k phone. which can beat any Brand's phone in price bracket 30 k. You can check on YouTube all recommend this device
Very nice mobile
I have mobile
